Company,SIC,IndustryClassification,Industry,FiscalYearEnd,FiscalYear,Date,Assets,StockholdersEquity,Revenue,NetIncome,ProfitMargin
"UNITED AIRLINES HOLDINGS, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2021,12/31/2021,68175000000,5029000000,24634000000,-1964000000,-0.0797
"UNITED AIRLINES HOLDINGS, INC.",4512,Transportation by Air,Transportation & Public Utilities,1231,2020,12/31/2020,59548000000,5960000000,15355000000,-7069000000,-0.4604
COLUMBUS MCKINNON CORP,3531,Industrial Machinery & Equipment,Manufacturing,331,2023,3/31/2024,1825945000,882063000,1013540000,46625000,0.0460
UNIVERSAL DISPLAY CORP PA,3670,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,1668961000,1447226000,576429000,203011000,0.3522
UNIVERSAL DISPLAY CORP PA,3670,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,1532820000,1275369000,616619000,210061000,0.3407
UNIVERSAL DISPLAY CORP PA,3670,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,1466919000,1099914000,553525000,184213000,0.3328
UNIVERSAL DISPLAY CORP PA,3670,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,1269228000,912714000,428867000,133372000,0.3110
IDT CORP,4813,Communications,Transportation & Public Utilities,731,2023,7/31/2023,510810000,193729000,1238854000,40492000,0.0327
IDT CORP,4813,Communications,Transportation & Public Utilities,731,2022,7/31/2022,497094000,167615000,1364057000,27028000,0.0198
IDT CORP,4813,Communications,Transportation & Public Utilities,731,2021,7/31/2021,512655000,164864000,1446990000,96475000,0.0667
CSG SYSTEMS INTERNATIONAL INC,7374,Business Services,Services,1231,2022,12/31/2022,1348553000,355249000,1089752000,44060000,0.0404
CSG SYSTEMS INTERNATIONAL INC,7374,Business Services,Services,1231,2021,12/31/2021,1387149000,436609000,1046487000,72331000,0.0691
CSG SYSTEMS INTERNATIONAL INC,7374,Business Services,Services,1231,2020,12/31/2020,1332000000,422395000,990533000,58711000,0.0593
TOMPKINS FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,7819749000,668522000,75027000,9505000,0.1267
TOMPKINS FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,7670686000,615978000,73972000,85030000,1.1495
TOMPKINS FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,7819982000,727529000,72601000,89264000,1.2295
TOMPKINS FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,7622171000,716277000,65746000,77588000,1.1801
ARGAN INC,1700,Special Trade Contractors,Construction,131,2023,1/31/2024,598229000,290939000,573333000,32358000,0.0564
ARGAN INC,1700,Special Trade Contractors,Construction,131,2022,1/31/2023,489487000,280897000,455040000,33098000,0.0727
ARGAN INC,1700,Special Trade Contractors,Construction,131,2021,1/31/2022,553585000,326392000,509370000,38244000,0.0751
ARGAN INC,1700,Special Trade Contractors,Construction,131,2020,1/31/2021,602630000,320667000,392206000,23851000,0.0608
EVOLUTION PETROLEUM CORP,1311,Oil & Gas Extraction,Mining,630,2024,6/30/2024,162877000,81127000,85877000,4080000,0.0475
EVOLUTION PETROLEUM CORP,1311,Oil & Gas Extraction,Mining,630,2023,6/30/2023,128317000,92094000,128514000,35217000,0.2740
INNOVATE CORP.,3440,Fabricated Metal Products,Manufacturing,1231,2023,12/31/2023,1043600000,-165500000,1423000000,-35200000,-0.0247
INNOVATE CORP.,3440,Fabricated Metal Products,Manufacturing,1231,2022,12/31/2022,1151700000,-121300000,1637300000,-35900000,-0.0219
INNOVATE CORP.,3440,Fabricated Metal Products,Manufacturing,1231,2021,12/31/2021,1080600000,-84300000,1205200000,-227500000,-0.1888
"HC2 HOLDINGS, INC.",3440,Fabricated Metal Products,Manufacturing,1231,2020,12/31/2020,6742800000,559800000,1005800000,-92000000,-0.0915
KVH INDUSTRIES INC DE,3663,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,172634000,147372000,132379000,-15422000,-0.1165
TUPPERWARE BRANDS CORP,3089,Rubber & Miscellaneous Plastics Products,Manufacturing,1231,2022,12/31/2022,743600000,-429800000,1304000000,-232500000,-0.1783
TUPPERWARE BRANDS CORP,3089,Rubber & Miscellaneous Plastics Products,Manufacturing,1231,2021,12/31/2021,1255400000,-207100000,1602300000,18600000,0.0116
TUPPERWARE BRANDS CORP,3089,Rubber & Miscellaneous Plastics Products,Manufacturing,1231,2020,12/31/2020,1219900000,-204700000,1740100000,112200000,0.0645
UNION PACIFIC CORP,4011,Railroad Transportation,Transportation & Public Utilities,1231,2023,12/31/2023,67132000000,14788000000,24119000000,6379000000,0.2645
UNION PACIFIC CORP,4011,Railroad Transportation,Transportation & Public Utilities,1231,2022,12/31/2022,65449000000,12163000000,24875000000,6998000000,0.2813
UNION PACIFIC CORP,4011,Railroad Transportation,Transportation & Public Utilities,1231,2021,12/31/2021,63525000000,14161000000,21804000000,6523000000,0.2992
UNION PACIFIC CORP,4011,Railroad Transportation,Transportation & Public Utilities,1231,2020,12/31/2020,62398000000,16958000000,19533000000,5349000000,0.2738
SIGA TECHNOLOGIES INC,2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,254352855,196858907,139917220,68068826,0.4865
SIGA TECHNOLOGIES INC,2834,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,195035923,170160042,110775610,33904806,0.3061
SIGA TECHNOLOGIES INC,2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,214726575,174314407,133670454,69450766,0.5196
KNOLL INC,2590,Furniture & Fixtures,Manufacturing,1231,2020,12/31/2020,1453100000,447800000,1236400000,4400000,0.0036
UNITED FIRE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,3144190000,733745000,1095467000,-29700000,-0.0271
UNITED FIRE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,2882286000,740114000,980286000,15031000,0.0153
UNITED FIRE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,3012721000,879121000,1066191000,80594000,0.0756
UNITED FIRE GROUP INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,3069678000,825149000,1068627000,-112706000,-0.1055
RUSH ENTERPRISES INC TX,5500,Automative Dealers & Service Stations,Retail Trade,1231,2023,12/31/2023,4364241000,1870879000,7925024000,347055000,0.0438
RUSH ENTERPRISES INC TX,5500,Automative Dealers & Service Stations,Retail Trade,1231,2022,12/31/2022,3821066000,1744491000,7101668000,391382000,0.0551
RUSH ENTERPRISES INC TX,5500,Automative Dealers & Service Stations,Retail Trade,1231,2021,12/31/2021,3119977000,1466749000,5126142000,241415000,0.0471
RUSH ENTERPRISES INC TX,5500,Automative Dealers & Service Stations,Retail Trade,1231,2020,12/31/2020,2985393000,1268037000,4735940000,114887000,0.0243
SEALED AIR CORP/DE,2820,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,7200600000,549500000,5488900000,341600000,0.0622
SEALED AIR CORP/DE,2820,Chemical & Allied Products,Manufacturing,1231,2022,12/31/2022,6214700000,344100000,5641900000,491600000,0.0871
SEALED AIR CORP/DE,2820,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,6229300000,248700000,5533800000,506800000,0.0916
SEALED AIR CORP/DE,2820,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,6083800000,172500000,4903200000,502900000,0.1026
AVADEL PHARMACEUTICALS PLC,2834,Chemical & Allied Products,Manufacturing,1231,2023,12/31/2023,164698000,87739000,27963000,-160276000,-5.7317
AVADEL PHARMACEUTICALS PLC,2834,Chemical & Allied Products,Manufacturing,1231,2021,12/31/2021,247265000,78244000,0,-77329000,
AVADEL PHARMACEUTICALS PLC,2834,Chemical & Allied Products,Manufacturing,1231,2020,12/31/2020,311637000,162266000,22334000,7028000,0.3147
FBL FINANCIAL GROUP INC,6311,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,10996272000,1692099000,732265000,72513000,0.0990
FACTSET RESEARCH SYSTEMS INC,7370,Business Services,Services,831,2023,8/31/2023,3962922000,1619930000,2085508000,468173000,0.2245
FACTSET RESEARCH SYSTEMS INC,7370,Business Services,Services,831,2022,8/31/2022,4014305000,1331408000,1843892000,396917000,0.2153
FACTSET RESEARCH SYSTEMS INC,7370,Business Services,Services,831,2021,8/31/2021,2224940000,1016353000,1591445000,399590000,0.2511
NORWOOD FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,1851864000,194785000,6209000,15080000,2.4287
ANSYS INC,7372,Business Services,Services,1231,2023,12/31/2023,7322875000,5390364000,2269949000,500412000,0.2205
ANSYS INC,7372,Business Services,Services,1231,2022,12/31/2022,6687945000,4865851000,2065553000,523710000,0.2535
ANSYS INC,7372,Business Services,Services,1231,2021,12/31/2021,6324314000,4484048000,1906715000,454627000,0.2384
ANSYS INC,7372,Business Services,Services,1231,2020,12/31/2020,5940590000,4097872000,1681297000,433887000,0.2581
BJS RESTAURANTS INC,5812,Eating & Drinking Places,Retail Trade,1231,2023,12/31/2023,1058454000,365761000,1333229000,19660000,0.0147
BJS RESTAURANTS INC,5812,Eating & Drinking Places,Retail Trade,1231,2022,12/31/2022,1045922000,345515000,1283926000,4076000,0.0032
BJS RESTAURANTS INC,5812,Eating & Drinking Places,Retail Trade,1231,2021,12/31/2021,1035166000,333771000,1087038000,-3606000,-0.0033
BJS RESTAURANTS INC,5812,Eating & Drinking Places,Retail Trade,1231,2020,12/31/2020,1059424000,293788000,778510000,-57885000,-0.0744
PEGASYSTEMS INC,7374,Business Services,Services,1231,2023,12/31/2023,1510736000,353838000,1432616000,67808000,0.0473
PEGASYSTEMS INC,7374,Business Services,Services,1231,2022,12/31/2022,1357672000,130843000,1317845000,-345582000,-0.2622
PEGASYSTEMS INC,7374,Business Services,Services,1231,2021,12/31/2021,1593531000,416088000,1211653000,-63040000,-0.0520
PEGASYSTEMS INC,7374,Business Services,Services,1231,2020,12/31/2020,1604262000,542172000,1017517000,-61373000,-0.0603
"STRATEGIC EDUCATION, INC.",8200,Educational Services,Services,1231,2023,12/31/2023,2125213000,1652518000,1132924000,69791000,0.0616
"STRATEGIC EDUCATION, INC.",8200,Educational Services,Services,1231,2022,12/31/2022,2161747000,1635790000,1065480000,46670000,0.0438
"STRATEGIC EDUCATION, INC.",8200,Educational Services,Services,1231,2021,12/31/2021,2305880000,1713990000,1131686000,55087000,0.0487
"STRATEGIC EDUCATION, INC.",8200,Educational Services,Services,1231,2020,12/31/2020,2295807000,1748319000,1027653000,86268000,0.0839
"OPTION CARE HEALTH, INC.",8082,Health Services,Services,1231,2023,12/31/2023,3217035000,1421672000,4302324000,267090000,0.0621
"OPTION CARE HEALTH, INC.",8082,Health Services,Services,1231,2022,12/31/2022,3112936000,1386103000,3944735000,150556000,0.0382
"OPTION CARE HEALTH, INC.",8082,Health Services,Services,1231,2021,12/31/2021,2790918000,1175886000,3438640000,139898000,0.0407
"OPTION CARE HEALTH, INC.",8082,Health Services,Services,1231,2020,12/31/2020,2647439000,1015724000,3032610000,-8076000,-0.0027
WINTRUST FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,56259934000,5399526000,220443000,622626000,2.8244
WINTRUST FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,52949649000,4796838000,217719000,509682000,2.3410
WINTRUST FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,50142143000,4498688000,207172000,466151000,2.2501
WINTRUST FINANCIAL CORP,6022,Depository Institutions,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,45080768000,4115995000,170130000,292990000,1.7222
"AMMO, INC.",3480,Fabricated Metal Products,Manufacturing,331,2023,3/31/2024,399902216,356557029,145054572,-15565200,-0.1073
"ANTARES PHARMA, INC.",3841,Instruments & Related Products,Manufacturing,1231,2021,12/31/2021,257505000,175758000,183982000,46289000,0.2516
"ANTARES PHARMA, INC.",3841,Instruments & Related Products,Manufacturing,1231,2020,12/31/2020,212531000,119115000,149599000,56201000,0.3757
CARRIAGE SERVICES INC,7200,Personal Services,Services,1231,2023,12/31/2023,1268052000,173060000,382520000,33413000,0.0873
CARRIAGE SERVICES INC,7200,Personal Services,Services,1231,2022,12/31/2022,1192950000,137134000,370174000,41381000,0.1118
CARRIAGE SERVICES INC,7200,Personal Services,Services,1231,2021,12/31/2021,1178631000,128015000,375886000,33159000,0.0882
CARRIAGE SERVICES INC,7200,Personal Services,Services,1231,2020,12/31/2020,1145825000,240502000,329448000,16090000,0.0488
HIBBETT INC,5940,Miscellaneous Retail,Retail Trade,131,2023,1/31/2024,909222000,419025000,1728887000,103158000,0.0597
HIBBETT INC,5940,Miscellaneous Retail,Retail Trade,131,2022,1/31/2023,939160000,376231000,1708316000,128057000,0.0750
HIBBETT INC,5940,Miscellaneous Retail,Retail Trade,131,2021,1/31/2022,703217000,291515000,1691184000,174313000,0.1031
HIBBETT SPORTS INC,5940,Miscellaneous Retail,Retail Trade,131,2020,1/31/2021,808166000,391036000,1419657000,74266000,0.0523
MARATHON OIL CORP,1311,Oil & Gas Extraction,Mining,1231,2023,12/31/2023,19575000000,11205000000,6697000000,1554000000,0.2320
MARATHON OIL CORP,1311,Oil & Gas Extraction,Mining,1231,2022,12/31/2022,19940000000,11397000000,8036000000,3612000000,0.4495
WILLIS LEASE FINANCE CORP,5080,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2023,12/31/2023,2652344000,438963000,418555000,43781000,0.1046
WILLIS LEASE FINANCE CORP,5080,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2022,12/31/2022,2575217000,404688000,311927000,5439000,0.0174
WILLIS LEASE FINANCE CORP,5080,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2021,12/31/2021,2462927000,375885000,274202000,3352000,0.0122
WILLIS LEASE FINANCE CORP,5080,Wholesale Trade – Durable Goods,Wholesale Trade,1231,2020,12/31/2020,2364948000,364015000,288692000,9748000,0.0338
RTX CORP,3724,Transportation Equipment,Manufacturing,1231,2023,12/31/2023,1.61869E+11,59798000000,68920000000,3195000000,0.0464
RAYTHEON TECHNOLOGIES CORP,3724,Transportation Equipment,Manufacturing,1231,2022,12/31/2022,1.58864E+11,72632000000,67074000000,5197000000,0.0775
RAYTHEON TECHNOLOGIES CORP,3724,Transportation Equipment,Manufacturing,1231,2021,12/31/2021,1.61404E+11,73068000000,64388000000,3864000000,0.0600
RAYTHEON TECHNOLOGIES CORP,3724,Transportation Equipment,Manufacturing,1231,2020,12/31/2020,1.62153E+11,72163000000,56587000000,-3519000000,-0.0622
AMAZON COM INC,5961,Miscellaneous Retail,Retail Trade,1231,2023,12/31/2023,5.27854E+11,2.01875E+11,5.75E+11,30425000000,0.0529
AMAZON COM INC,5961,Miscellaneous Retail,Retail Trade,1231,2022,12/31/2022,4.62675E+11,1.46043E+11,5.14E+11,-2722000000,-0.0053
AMAZON COM INC,5961,Miscellaneous Retail,Retail Trade,1231,2021,12/31/2021,4.20549E+11,1.38245E+11,4.70E+11,33364000000,0.0710
AMAZON COM INC,5961,Miscellaneous Retail,Retail Trade,1231,2020,12/31/2020,3.21195E+11,93404000000,3.86E+11,21331000000,0.0553
ABERCROMBIE & FITCH CO /DE/,5651,Apparel & Accessory Stores,Retail Trade,131,2023,1/31/2024,2974233000,1035160000,4280677000,328123000,0.0767
ATI INC,3317,Primary Metal Industries,Manufacturing,1231,2023,12/31/2023,4985100000,1373000000,4173700000,410800000,0.0984
ATI INC,3317,Primary Metal Industries,Manufacturing,1231,2022,12/31/2022,4445600000,1045900000,3836000000,130900000,0.0341
ALLEGHENY TECHNOLOGIES INC,3317,Primary Metal Industries,Manufacturing,1231,2021,12/31/2021,4285200000,685600000,2799800000,-38200000,-0.0136
ALLEGHENY TECHNOLOGIES INC,3317,Primary Metal Industries,Manufacturing,1231,2020,12/31/2020,4034900000,521100000,2982100000,-1572600000,-0.5273
AMERISAFE INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2023,12/31/2023,1229162000,292451000,306853000,62108000,0.2024
AMERISAFE INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2022,12/31/2022,1269279000,317432000,294737000,55602000,0.1886
AMERISAFE INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2021,12/31/2021,1402724000,399323000,315934000,65756000,0.2081
AMERISAFE INC,6331,Insurance Carriers,"Finance, Insurance, & Real Estate",1231,2020,12/31/2020,1470855000,438816000,339477000,86602000,0.2551
UNIVERSAL ELECTRONICS INC,3651,Electronic & Other Electric Equipment,Manufacturing,1231,2023,12/31/2023,355872000,178920000,420457000,-98238000,-0.2336
UNIVERSAL ELECTRONICS INC,3651,Electronic & Other Electric Equipment,Manufacturing,1231,2022,12/31/2022,504163000,268406000,542751000,407000,0.0007
UNIVERSAL ELECTRONICS INC,3651,Electronic & Other Electric Equipment,Manufacturing,1231,2021,12/31/2021,510348000,275949000,601602000,5301000,0.0088
UNIVERSAL ELECTRONICS INC,3651,Electronic & Other Electric Equipment,Manufacturing,1231,2020,12/31/2020,510290000,313301000,614680000,38572000,0.0628
"PENSKE AUTOMOTIVE GROUP, INC.",5500,Automative Dealers & Service Stations,Retail Trade,1231,2023,12/31/2023,15671500000,4726200000,29527400000,1053200000,0.0357
"PENSKE AUTOMOTIVE GROUP, INC.",5500,Automative Dealers & Service Stations,Retail Trade,1231,2022,12/31/2022,14114600000,4148000000,27814800000,1380000000,0.0496
